CurveName,Tenor,NPV,Duration,Convexity
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,20 Years,101.040246,12.703650,211.405341
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,30 Years,118.040788,17.630837,430.162626
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,20 Years,101.040246,12.703650,211.405341
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_FORWARD,30 Years,118.054574,17.632282,430.217498
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,20 Years,101.097426,12.706352,211.462766
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,30 Years,118.651545,17.690606,432.401717
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,20 Years,101.097426,12.706352,211.462766
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,30 Years,116.725603,17.487430,424.685360
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,20 Years,101.097426,12.706352,211.462766
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,30 Years,118.636394,17.689033,432.341990
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,5 Years,104.332603,4.497394,21.590184
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,10 Years,104.736968,8.025538,73.795700
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,20 Years,101.097426,12.706352,211.462766
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,30 Years,117.652544,17.586047,428.430719
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,5 Years,104.328912,4.497294,21.589531
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,10 Years,104.698575,8.024718,73.785557
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,20 Years,101.040246,12.703650,211.405341
PIECEWISE_ZERO_CUBIC:DUAL_BLENDED_ZERO,30 Years,118.054574,17.632282,430.217498
FITTED_NELSON_SIEGEL:FLAT_FORWARD,5 Years,102.807380,4.492701,21.560965
FITTED_NELSON_SIEGEL:FLAT_FORWARD,10 Years,103.820801,8.026576,73.831622
FITTED_NELSON_SIEGEL:FLAT_FORWARD,20 Years,105.595686,13.044914,219.875574
FITTED_NELSON_SIEGEL:FLAT_FORWARD,30 Years,110.366005,16.671279,391.451254
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,5 Years,102.807380,4.492701,21.560965
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,10 Years,103.820801,8.026576,73.831622
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,20 Years,105.595686,13.044914,219.875574
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,30 Years,110.360188,16.670576,391.424445
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,5 Years,102.807380,4.492701,21.560965
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,10 Years,103.820801,8.026576,73.831622
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,20 Years,105.595686,13.044914,219.875574
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,30 Years,110.365960,16.671274,391.451048
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,5 Years,102.807380,4.492701,21.560965
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,10 Years,103.820801,8.026576,73.831622
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,20 Years,105.595686,13.044914,219.875574
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,30 Years,110.364804,16.671134,391.445720
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,5 Years,102.807380,4.492701,21.560965
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,10 Years,103.820801,8.026576,73.831622
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,20 Years,105.595686,13.044914,219.875574
FITTED_NELSON_SIEGEL:DUAL_BLENDED_FORWARD,30 Years,110.366005,16.671279,391.451254
FITTED_NELSON_SIEGEL:FLAT_ZERO,5 Years,102.827112,4.492755,21.561305
FITTED_NELSON_SIEGEL:FLAT_ZERO,10 Years,103.847842,8.026814,73.834442
FITTED_NELSON_SIEGEL:FLAT_ZERO,20 Years,105.613512,13.044755,219.869183
FITTED_NELSON_SIEGEL:FLAT_ZERO,30 Years,110.370560,16.669332,391.376141
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,5 Years,102.827112,4.492755,21.561305
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,10 Years,103.847842,8.026814,73.834442
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,20 Years,105.613512,13.044755,219.869183
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,30 Years,109.690602,16.586669,388.222831
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,5 Years,102.827112,4.492755,21.561305
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,10 Years,103.847842,8.026814,73.834442
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,20 Years,105.613512,13.044755,219.869183
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,30 Years,110.365282,16.668695,391.351817
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,5 Years,102.827112,4.492755,21.561305
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,10 Years,103.847842,8.026814,73.834442
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,20 Years,105.613512,13.044755,219.869183
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,30 Years,110.270862,16.657276,390.916224
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,5 Years,102.807380,4.492701,21.560965
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,10 Years,103.820801,8.026576,73.831622
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,20 Years,105.595686,13.044914,219.875574
FITTED_NELSON_SIEGEL:DUAL_BLENDED_ZERO,30 Years,110.366005,16.671279,391.451254
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,5 Years,104.751518,4.499717,21.605586
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,10 Years,104.502239,8.018391,73.689353
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,20 Years,100.304352,12.655979,210.299075
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,30 Years,117.488759,17.585090,428.463180
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,5 Years,104.751518,4.499717,21.605586
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,10 Years,104.502239,8.018391,73.689353
