CurveName,Tenor,NPV,Duration,Convexity
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,10 Years,104.209688,8.014981,73.659675
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,20 Years,101.913413,12.762847,212.899855
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,30 Years,102.208890,15.717418,357.815683
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,5 Years,104.401376,4.497552,21.591010
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,10 Years,104.246472,8.015883,73.670743
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,20 Years,101.959409,12.765261,212.951553
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,30 Years,102.242116,15.718885,357.841712
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,5 Years,104.401376,4.497552,21.591010
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,10 Years,104.246472,8.015883,73.670743
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,20 Years,101.959409,12.765261,212.951553
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,30 Years,102.171098,15.708958,357.464860
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,5 Years,104.401376,4.497552,21.591010
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,10 Years,104.246472,8.015883,73.670743
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,20 Years,101.959409,12.765261,212.951553
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,30 Years,102.241571,15.718809,357.838819
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,5 Years,104.401376,4.497552,21.591010
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,10 Years,104.246472,8.015883,73.670743
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,20 Years,101.959409,12.765261,212.951553
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,30 Years,102.211295,15.714579,357.678225
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,5 Years,103.165957,4.494093,21.570015
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,10 Years,104.439039,8.033817,73.918996
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,20 Years,103.427145,12.881167,215.670373
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,30 Years,101.025641,15.517839,349.255331
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,5 Years,103.165957,4.494093,21.570015
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,10 Years,104.439039,8.033817,73.918996
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,20 Years,103.427145,12.881167,215.670373
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,30 Years,101.027072,15.518044,349.263133
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,5 Years,103.165957,4.494093,21.570015
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,10 Years,104.439039,8.033817,73.918996
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,20 Years,103.427145,12.881167,215.670373
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,30 Years,101.025652,15.517841,349.255391
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,5 Years,103.165957,4.494093,21.570015
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,10 Years,104.439039,8.033817,73.918996
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,20 Years,103.427145,12.881167,215.670373
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,30 Years,101.025552,15.517826,349.254842
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,5 Years,103.179236,4.494133,21.570271
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,10 Years,104.465286,8.034126,73.922813
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,20 Years,103.477045,12.883279,215.720384
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,30 Years,101.086962,15.522652,349.416057
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,5 Years,103.179236,4.494133,21.570271
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,10 Years,104.465286,8.034126,73.922813
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,20 Years,103.477045,12.883279,215.720384
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,30 Years,101.161400,15.533305,349.821194
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,5 Years,103.179236,4.494133,21.570271
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,10 Years,104.465286,8.034126,73.922813
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,20 Years,103.477045,12.883279,215.720384
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,30 Years,101.087533,15.522733,349.419162
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,5 Years,103.179236,4.494133,21.570271
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,10 Years,104.465286,8.034126,73.922813
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,20 Years,103.477045,12.883279,215.720384
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,30 Years,101.129602,15.528756,349.648200
